date,year,team,opponent,team_score,opponent_score,margin,result,tournament
1998-06-13,1998,Ireland,South Africa,13,37,-24,Loss,1998 Ireland rugby union tour of South Africa
1998-06-13,1998,South Africa,Ireland,37,13,24,Win,1998 Ireland rugby union tour of South Africa
1998-06-20,1998,Argentina,France,12,37,-25,Loss,1998 France tour of Argentina and Fiji
1998-06-20,1998,Australia,Scotland,33,11,22,Win,1998 Scotland tour of Australia and Fiji
1998-06-20,1998,England,New Zealand,22,64,-42,Loss,1998 England rugby union tour of Australasia and South Africa
1998-06-20,1998,France,Argentina,37,12,25,Win,1998 France tour of Argentina and Fiji
1998-06-20,1998,Ireland,South Africa,0,33,-33,Loss,1998 Ireland rugby union tour of South Africa
1998-06-20,1998,New Zealand,England,64,22,42,Win,1998 England rugby union tour of Australasia and South Africa
1998-06-20,1998,South Africa,Ireland,33,0,33,Win,1998 Ireland rugby union tour of South Africa
1998-06-27,1998,England,New Zealand,10,40,-30,Loss,1998 England rugby union tour of Australasia and South Africa
1998-06-27,1998,New Zealand,England,40,10,30,Win,1998 England rugby union tour of Australasia and South Africa
1998-06-27,1998,South Africa,Wales,96,13,83,Win,1998 Wales tour of Zimbabwe and South Africa
1998-06-27,1998,Wales,South Africa,13,96,-83,Loss,1998 Wales tour of Zimbabwe and South Africa
1998-07-04,1998,England,South Africa,0,18,-18,Loss,1998 England rugby union tour of Australasia and South Africa
1998-07-04,1998,South Africa,England,18,0,18,Win,1998 England rugby union tour of Australasia and South Africa
1998-07-11,1998,Australia,New Zealand,24,16,8,Win,1998 Tri Nations Series
1998-07-11,1998,New Zealand,Australia,16,24,-8,Loss,1998 Tri Nations Series
1998-07-18,1998,Australia,South Africa,13,14,-1,Loss,1998 Tri Nations Series
1998-07-18,1998,South Africa,Australia,14,13,1,Win,1998 Tri Nations Series
1998-07-25,1998,New Zealand,South Africa,3,13,-10,Loss,1998 Tri Nations Series
1998-07-25,1998,South Africa,New Zealand,13,3,10,Win,1998 Tri Nations Series
1998-08-01,1998,Australia,New Zealand,27,23,4,Win,1998 Tri Nations Series
1998-08-01,1998,New Zealand,Australia,23,27,-4,Loss,1998 Tri Nations Series
1998-08-15,1998,New Zealand,South Africa,23,24,-1,Loss,1998 Tri Nations Series
1998-08-15,1998,South Africa,New Zealand,24,23,1,Win,1998 Tri Nations Series
1998-08-22,1998,Australia,South Africa,15,29,-14,Loss,1998 Tri Nations Series
1998-08-22,1998,South Africa,Australia,29,15,14,Win,1998 Tri Nations Series
1998-08-29,1998,Australia,New Zealand,19,14,5,Win,1998 Bledisloe Cup III
1998-08-29,1998,New Zealand,Australia,14,19,-5,Loss,1998 Bledisloe Cup III
1998-11-07,1998,Argentina,Italy,19,23,-4,Loss,1998 Argentina rugby union tour of Japan and Europe
1998-11-07,1998,Italy,Argentina,23,19,4,Win,1998 Argentina rugby union tour of Japan and Europe
1998-11-14,1998,Argentina,France,14,34,-20,Loss,1998 Argentina tour of Japan and Europe
1998-11-14,1998,France,Argentina,34,14,20,Win,1998 Argentina tour of Japan and Europe
1998-11-14,1998,South Africa,Wales,28,20,8,Win,1998 South Africa tour of Great Britain and Ireland
1998-11-14,1998,Wales,South Africa,20,28,-8,Loss,1998 South Africa tour of Great Britain and Ireland
1998-11-21,1998,Argentina,Wales,30,43,-13,Loss,1998 Autumn International
1998-11-21,1998,Australia,France,32,21,11,Win,1998 Australia tour of France and England
1998-11-21,1998,France,Australia,21,32,-11,Loss,1998 Australia tour of France and England
1998-11-21,1998,South Africa,Scotland,35,10,25,Win,1998 South Africa rugby union tour of Britain and Ireland
1998-11-21,1998,Wales,Argentina,43,30,13,Win,1998 Autumn International
1998-11-22,1998,England,Italy,23,15,8,Win,1999 Rugby World Cup European qualification
1998-11-22,1998,Italy,England,15,23,-8,Loss,1999 Rugby World Cup European qualification
1998-11-28,1998,Australia,England,12,11,1,Win,1998 Autumn International
1998-11-28,1998,England,Australia,11,12,-1,Loss,1998 Autumn International
1998-11-28,1998,Ireland,South Africa,13,27,-14,Loss,1998 South Africa rugby union tour of Britain and Ireland
1998-11-28,1998,South Africa,Ireland,27,13,14,Win,1998 South Africa rugby union tour of Britain and Ireland
1998-12-05,1998,England,South Africa,13,7,6,Win,1998 South Africa rugby union tour of Britain and Ireland
1998-12-05,1998,South Africa,England,7,13,-6,Loss,1998 South Africa rugby union tour of Britain and Ireland
1999-02-06,1999,France,Ireland,10,9,1,Win,1999 Five Nations Championship
1999-02-06,1999,Ireland,France,9,10,-1,Loss,1999 Five Nations Championship
1999-02-06,1999,Wales,Scotland,20,33,-13,Loss,1999 Five Nations Championship
1999-02-20,1999,England,Scotland,24,21,3,Win,1999 Five Nations Championship
1999-02-20,1999,Ireland,Wales,29,23,6,Win,1999 Five Nations Championship
1999-02-20,1999,Wales,Ireland,23,29,-6,Loss,1999 Five Nations Championship
1999-03-06,1999,England,Ireland,27,15,12,Win,1999 Five Nations Championship
1999-03-06,1999,France,Wales,33,34,-1,Loss,1999 Five Nations Championship
1999-03-06,1999,Ireland,England,15,27,-12,Loss,1999 Five Nations Championship
1999-03-06,1999,Italy,Scotland,12,30,-18,Loss,
1999-03-06,1999,Wales,France,34,33,1,Win,1999 Five Nations Championship
1999-03-20,1999,England,France,21,10,11,Win,1999 Five Nations Championship
1999-03-20,1999,France,England,10,21,-11,Loss,1999 Five Nations Championship
1999-03-20,1999,Ireland,Scotland,13,30,-17,Loss,1999 Five Nations Championship
1999-03-20,1999,Italy,Wales,21,60,-39,Loss,
1999-03-20,1999,Wales,Italy,60,21,39,Win,
1999-04-10,1999,France,Scotland,22,36,-14,Loss,1999 Five Nations Championship
1999-04-10,1999,Ireland,Italy,39,30,9,Win,
1999-04-10,1999,Italy,Ireland,30,39,-9,Loss,
1999-04-11,1999,England,Wales,32,31,1,Win,1999 Five Nations Championship
1999-04-11,1999,Wales,England,31,32,-1,Loss,1999 Five Nations Championship
1999-06-05,1999,Argentina,Wales,26,36,-10,Loss,1999 Wales tour of Argentina
1999-06-05,1999,Wales,Argentina,36,26,10,Win,1999 Wales tour of Argentina
1999-06-12,1999,Argentina,Wales,16,23,-7,Loss,1999 Wales tour of Argentina
1999-06-12,1999,Australia,Ireland,46,10,36,Win,1999 Ireland tour of Australia
1999-06-12,1999,Ireland,Australia,10,46,-36,Loss,1999 Ireland tour of Australia
1999-06-12,1999,Italy,South Africa,3,74,-71,Loss,1999 Italy rugby union tour of South Africa
1999-06-12,1999,South Africa,Italy,74,3,71,Win,1999 Italy rugby union tour of South Africa
1999-06-12,1999,Wales,Argentina,23,16,7,Win,1999 Wales tour of Argentina
1999-06-19,1999,Australia,Ireland,32,26,6,Win,1999 Ireland tour of Australia
1999-06-19,1999,Ireland,Australia,26,32,-6,Loss,1999 Ireland tour of Australia
1999-06-19,1999,Italy,South Africa,0,101,-101,Loss,1999 Italy rugby union tour of South Africa
1999-06-19,1999,South Africa,Italy,101,0,101,Win,1999 Italy rugby union tour of South Africa
1999-06-26,1999,Australia,England,22,15,7,Win,1999 England tour of Australia
1999-06-26,1999,England,Australia,15,22,-7,Loss,1999 England tour of Australia
1999-06-26,1999,France,New Zealand,7,54,-47,Loss,1999 French tour
1999-06-26,1999,New Zealand,France,54,7,47,Win,1999 French tour
1999-06-26,1999,South Africa,Wales,19,29,-10,Loss,
1999-06-26,1999,Wales,South Africa,29,19,10,Win,
1999-07-10,1999,New Zealand,South Africa,28,0,28,Win,1999 Tri Nations Series
1999-07-10,1999,South Africa,New Zealand,0,28,-28,Loss,1999 Tri Nations Series
1999-07-17,1999,Australia,South Africa,32,6,26,Win,1999 Tri Nations Series
1999-07-17,1999,South Africa,Australia,6,32,-26,Loss,1999 Tri Nations Series
1999-07-24,1999,Australia,New Zealand,15,34,-19,Loss,1999 Tri Nations Series
1999-07-24,1999,New Zealand,Australia,34,15,19,Win,1999 Tri Nations Series
1999-08-07,1999,New Zealand,South Africa,34,18,16,Win,1999 Tri Nations Series
1999-08-07,1999,South Africa,New Zealand,18,34,-16,Loss,1999 Tri Nations Series
1999-08-14,1999,Australia,South Africa,9,10,-1,Loss,1999 Tri Nations Series
1999-08-14,1999,South Africa,Australia,10,9,1,Win,1999 Tri Nations Series
1999-08-21,1999,Argentina,Scotland,31,22,9,Win,1999 Rugby World Cup warm-up match
1999-08-28,1999,Argentina,Ireland,24,32,-8,Loss,1999 Rugby World Cup warm-up
1999-08-28,1999,Australia,New Zealand,28,7,21,Win,1999 Tri Nations Series
1999-08-28,1999,France,Wales,23,34,-11,Loss,1999 Rugby World Cup warm-up match
1999-08-28,1999,Ireland,Argentina,32,24,8,Win,1999 Rugby World Cup warm-up
1999-08-28,1999,New Zealand,Australia,7,28,-21,Loss,1999 Tri Nations Series
1999-08-28,1999,Wales,France,34,23,11,Win,1999 Rugby World Cup warm-up match
1999-10-01,1999,Argentina,Wales,18,23,-5,Loss,1999 Rugby World Cup Pool match
1999-10-01,1999,Wales,Argentina,23,18,5,Win,1999 Rugby World Cup Pool match
1999-10-02,1999,England,Italy,67,7,60,Win,1999 Rugby World Cup Pool Stage
1999-10-02,1999,Italy,England,7,67,-60,Loss,1999 Rugby World Cup Pool Stage
1999-10-03,1999,South Africa,Scotland,46,29,17,Win,1999 Rugby World Cup
1999-10-09,1999,England,New Zealand,16,30,-14,Loss,1999 Rugby World Cup Pool Stage
1999-10-09,1999,New Zealand,England,30,16,14,Win,1999 Rugby World Cup Pool Stage
1999-10-10,1999,Australia,Ireland,23,3,20,Win,1999 Rugby World Cup Pool match
1999-10-10,1999,Ireland,Australia,3,23,-20,Loss,1999 Rugby World Cup Pool match
1999-10-14,1999,Italy,New Zealand,3,101,-98,Loss,1999 Rugby World Cup
1999-10-14,1999,New Zealand,Italy,101,3,98,Win,1999 Rugby World Cup
1999-10-20,1999,Argentina,Ireland,28,24,4,Win,1999 Rugby World Cup
1999-10-20,1999,Ireland,Argentina,24,28,-4,Loss,1999 Rugby World Cup
1999-10-23,1999,Australia,Wales,24,9,15,Win,1999 Rugby World Cup Quarter-finals
1999-10-23,1999,Wales,Australia,9,24,-15,Loss,1999 Rugby World Cup Quarter-finals
1999-10-24,1999,Argentina,France,26,47,-21,Loss,1999 Rugby World Cup
1999-10-24,1999,England,South Africa,21,44,-23,Loss,1999 Rugby World Cup Quarter-final
1999-10-24,1999,France,Argentina,47,26,21,Win,1999 Rugby World Cup
1999-10-24,1999,New Zealand,Scotland,30,18,12,Win,1999 Rugby World Cup Quarter Final
1999-10-24,1999,South Africa,England,44,21,23,Win,1999 Rugby World Cup Quarter-final
1999-10-30,1999,Australia,South Africa,27,21,6,Win,1999 Rugby World Cup Semi-final
1999-10-30,1999,South Africa,Australia,21,27,-6,Loss,1999 Rugby World Cup Semi-final
1999-10-31,1999,France,New Zealand,43,31,12,Win,1999 Rugby World Cup
1999-10-31,1999,New Zealand,France,31,43,-12,Loss,1999 Rugby World Cup
1999-11-04,1999,New Zealand,South Africa,18,22,-4,Loss,1999 Rugby World Cup
1999-11-04,1999,South Africa,New Zealand,22,18,4,Win,1999 Rugby World Cup
1999-11-06,1999,Australia,France,35,12,23,Win,1999 Rugby World Cup Final
1999-11-06,1999,France,Australia,12,35,-23,Loss,1999 Rugby World Cup Final
2000-02-05,2000,England,Ireland,50,18,32,Win,2000 Six Nations Championship
2000-02-05,2000,France,Wales,36,3,33,Win,2000 Six Nations Championship
2000-02-05,2000,Ireland,England,18,50,-32,Loss,2000 Six Nations Championship
2000-02-05,2000,Italy,Scotland,34,20,14,Win,2000 Six Nations Championship
2000-02-05,2000,Wales,France,3,36,-33,Loss,2000 Six Nations Championship
2000-02-19,2000,England,France,15,9,6,Win,2000 Six Nations Championship
2000-02-19,2000,France,England,9,15,-6,Loss,2000 Six Nations Championship
2000-02-19,2000,Ireland,Scotland,44,22,22,Win,2000 Six Nations Championship
2000-02-19,2000,Italy,Wales,16,47,-31,Loss,2000 Six Nations
2000-02-19,2000,Wales,Italy,47,16,31,Win,2000 Six Nations
2000-03-04,2000,England,Wales,46,12,34,Win,2000 Six Nations Championship
2000-03-04,2000,France,Scotland,28,16,12,Win,2000 Six Nations Championship
2000-03-04,2000,Ireland,Italy,60,13,47,Win,2000 Six Nations Championship
2000-03-04,2000,Italy,Ireland,13,60,-47,Loss,2000 Six Nations Championship
2000-03-04,2000,Wales,England,12,46,-34,Loss,2000 Six Nations Championship
2000-03-18,2000,England,Italy,59,12,47,Win,2000 Six Nations Championship
2000-03-18,2000,Italy,England,12,59,-47,Loss,2000 Six Nations Championship
2000-03-18,2000,Wales,Scotland,26,18,8,Win,2000 Six Nations Championship
2000-03-19,2000,France,Ireland,25,27,-2,Loss,2000 Six Nations Championship
2000-03-19,2000,Ireland,France,27,25,2,Win,2000 Six Nations Championship
2000-04-01,2000,France,Italy,42,31,11,Win,2000 Six Nations Championship
2000-04-01,2000,Ireland,Wales,19,23,-4,Loss,2000 Six Nations Championship
2000-04-01,2000,Italy,France,31,42,-11,Loss,2000 Six Nations Championship
2000-04-01,2000,Wales,Ireland,23,19,4,Win,2000 Six Nations Championship
2000-04-02,2000,England,Scotland,13,19,-6,Loss,2000 Six Nations Championship
2000-06-03,2000,Argentina,Ireland,34,23,11,Win,2000 Ireland rugby union tour of The Americas
2000-06-03,2000,Ireland,Argentina,23,34,-11,Loss,2000 Ireland rugby union tour of The Americas
2000-06-17,2000,Argentina,Australia,6,53,-47,Loss,2000 Argentina tour of Australia and England
2000-06-17,2000,Australia,Argentina,53,6,47,Win,2000 Argentina tour of Australia and England
2000-06-17,2000,England,South Africa,13,18,-5,Loss,2000 England rugby union tour of South Africa
2000-06-17,2000,South Africa,England,18,13,5,Win,2000 England rugby union tour of South Africa
2000-06-24,2000,Argentina,Australia,25,32,-7,Loss,2000 Argentina tour of Australia and England
2000-06-24,2000,Australia,Argentina,32,25,7,Win,2000 Argentina tour of Australia and England
2000-06-24,2000,England,South Africa,27,22,5,Win,2000 England rugby union tour of South Africa
2000-06-24,2000,New Zealand,Scotland,69,20,49,Win,2000 Scotland rugby union tour of New Zealand
2000-06-24,2000,South Africa,England,22,27,-5,Loss,2000 England rugby union tour of South Africa
2000-07-01,2000,New Zealand,Scotland,48,14,34,Win,2000 Scotland rugby union tour of New Zealand
2000-07-08,2000,Australia,South Africa,44,23,21,Win,2000 Summer International
2000-07-08,2000,South Africa,Australia,23,44,-21,Loss,2000 Summer International
2000-07-15,2000,Australia,New Zealand,35,39,-4,Loss,2000 Tri Nations Series
2000-07-15,2000,New Zealand,Australia,39,35,4,Win,2000 Tri Nations Series
2000-07-22,2000,New Zealand,South Africa,25,12,13,Win,2000 Tri Nations Series
2000-07-22,2000,South Africa,New Zealand,12,25,-13,Loss,2000 Tri Nations Series
2000-07-29,2000,Australia,South Africa,26,6,20,Win,2000 Tri Nations Series
2000-07-29,2000,South Africa,Australia,6,26,-20,Loss,2000 Tri Nations Series
2000-08-05,2000,Australia,New Zealand,24,23,1,Win,2000 Tri Nations Series
2000-08-05,2000,New Zealand,Australia,23,24,-1,Loss,2000 Tri Nations Series
2000-08-19,2000,New Zealand,South Africa,40,46,-6,Loss,2000 Tri Nations Series
2000-08-19,2000,South Africa,New Zealand,46,40,6,Win,2000 Tri Nations Series
2000-08-26,2000,Australia,South Africa,19,18,1,Win,2000 Tri Nations Series
2000-08-26,2000,South Africa,Australia,18,19,-1,Loss,2000 Tri Nations Series
2000-11-04,2000,Australia,France,18,13,5,Win,2000 Australia tour of Great Britain and France
2000-11-04,2000,France,Australia,13,18,-5,Loss,2000 Australia tour of Great Britain and France
2000-11-11,2000,Australia,Scotland,30,9,21,Win,2000 Autumn International
2000-11-11,2000,France,New Zealand,26,39,-13,Loss,2000 end of year test
2000-11-11,2000,New Zealand,France,39,26,13,Win,2000 end of year test
2000-11-12,2000,Argentina,South Africa,33,37,-4,Loss,"2000 South Africa tour of Argentina, Great Britain and Ireland"
2000-11-12,2000,South Africa,Argentina,37,33,4,Win,"2000 South Africa tour of Argentina, Great Britain and Ireland"
2000-11-18,2000,Australia,England,19,22,-3,Loss,2000 Autumn International
2000-11-18,2000,England,Australia,22,19,3,Win,2000 Autumn International
2000-11-18,2000,France,New Zealand,42,33,9,Win,2000 end of year test
2000-11-18,2000,New Zealand,France,33,42,-9,Loss,2000 end of year test
2000-11-19,2000,Ireland,South Africa,18,28,-10,Loss,2000 end-of-year test
2000-11-19,2000,South Africa,Ireland,28,18,10,Win,2000 end-of-year test
2000-11-25,2000,Argentina,England,0,19,-19,Loss,2000 Autumn International
2000-11-25,2000,England,Argentina,19,0,19,Win,2000 Autumn International
2000-11-25,2000,Italy,New Zealand,19,56,-37,Loss,2000 end-of-year internationals
2000-11-25,2000,New Zealand,Italy,56,19,37,Win,2000 end-of-year internationals
2000-11-26,2000,South Africa,Wales,23,13,10,Win,"2000 South Africa tour of Argentina, Great Britain and Ireland"
2000-11-26,2000,Wales,South Africa,13,23,-10,Loss,"2000 South Africa tour of Argentina, Great Britain and Ireland"
2000-12-02,2000,England,South Africa,25,17,8,Win,2000 Autumn International
2000-12-02,2000,South Africa,England,17,25,-8,Loss,2000 Autumn International
2001-02-03,2001,England,Wales,44,15,29,Win,2001 Six Nations Championship
2001-02-03,2001,Ireland,Italy,41,22,19,Win,2001 Six Nations Championship
2001-02-03,2001,Italy,Ireland,22,41,-19,Loss,2001 Six Nations Championship
2001-02-03,2001,Wales,England,15,44,-29,Loss,2001 Six Nations Championship
2001-02-04,2001,France,Scotland,16,6,10,Win,2001 Six Nations Championship
2001-02-17,2001,England,Italy,80,23,57,Win,2001 Six Nations Championship
2001-02-17,2001,France,Ireland,15,22,-7,Loss,2001 Six Nations Championship
2001-02-17,2001,Ireland,France,22,15,7,Win,2001 Six Nations Championship
2001-02-17,2001,Italy,England,23,80,-57,Loss,2001 Six Nations Championship
2001-02-17,2001,Wales,Scotland,28,28,0,Draw,2001 Six Nations Championship
2001-03-03,2001,England,Scotland,43,3,40,Win,2001 Six Nations Championship
2001-03-03,2001,France,Italy,30,19,11,Win,2001 Six Nations Championship
2001-03-03,2001,Italy,France,19,30,-11,Loss,2001 Six Nations Championship
2001-03-17,2001,France,Wales,35,43,-8,Loss,2001 Six Nations Championship
2001-03-17,2001,Italy,Scotland,19,23,-4,Loss,2001 Six Nations Championship
2001-03-17,2001,Wales,France,43,35,8,Win,2001 Six Nations Championship
2001-04-07,2001,England,France,48,19,29,Win,2001 Six Nations Championship
2001-04-07,2001,France,England,19,48,-29,Loss,2001 Six Nations Championship
2001-04-08,2001,Italy,Wales,23,33,-10,Loss,2001 Six Nations
2001-04-08,2001,Wales,Italy,33,23,10,Win,2001 Six Nations
2001-06-16,2001,France,South Africa,32,23,9,Win,2001 France rugby union tour
2001-06-16,2001,South Africa,France,23,32,-9,Loss,2001 France rugby union tour
2001-06-23,2001,Argentina,New Zealand,19,67,-48,Loss,2001 Argentina tour of New Zealand and Great Britain
2001-06-23,2001,France,South Africa,15,20,-5,Loss,2001 France rugby union tour
2001-06-23,2001,New Zealand,Argentina,67,19,48,Win,2001 Argentina tour of New Zealand and Great Britain
2001-06-23,2001,South Africa,France,20,15,5,Win,2001 France rugby union tour
2001-06-30,2001,France,New Zealand,12,37,-25,Loss,2001 French tour
2001-06-30,2001,Italy,South Africa,14,60,-46,Loss,2001 Italy rugby union tour
2001-06-30,2001,New Zealand,France,37,12,25,Win,2001 French tour
2001-06-30,2001,South Africa,Italy,60,14,46,Win,2001 Italy rugby union tour
2001-07-14,2001,Argentina,Italy,38,17,21,Win,2001 Italy rugby union tour of Argentina
2001-07-14,2001,Italy,Argentina,17,38,-21,Loss,2001 Italy rugby union tour of Argentina
2001-07-21,2001,New Zealand,South Africa,12,3,9,Win,2001 Tri Nations Series
2001-07-21,2001,South Africa,New Zealand,3,12,-9,Loss,2001 Tri Nations Series
2001-07-28,2001,Australia,South Africa,15,20,-5,Loss,2001 Tri Nations Series
2001-07-28,2001,South Africa,Australia,20,15,5,Win,2001 Tri Nations Series
2001-08-11,2001,Australia,New Zealand,23,15,8,Win,2001 Tri Nations Series
2001-08-11,2001,New Zealand,Australia,15,23,-8,Loss,2001 Tri Nations Series
2001-08-18,2001,Australia,South Africa,14,14,0,Draw,2001 Tri Nations Series
2001-08-18,2001,South Africa,Australia,14,14,0,Draw,2001 Tri Nations Series
2001-08-25,2001,New Zealand,South Africa,26,15,11,Win,2001 Tri Nations Series
2001-08-25,2001,South Africa,New Zealand,15,26,-11,Loss,2001 Tri Nations Series
2001-09-01,2001,Australia,New Zealand,29,26,3,Win,2001 Tri Nations Series
2001-09-01,2001,New Zealand,Australia,26,29,-3,Loss,2001 Tri Nations Series
2001-09-22,2001,Ireland,Scotland,10,32,-22,Loss,2001 Six Nations Championship
2001-10-13,2001,Ireland,Wales,36,6,30,Win,2001 Six Nations Championship
2001-10-13,2001,Wales,Ireland,6,36,-30,Loss,2001 Six Nations Championship
2001-10-20,2001,England,Ireland,14,20,-6,Loss,2001 Six Nations Championship
2001-10-20,2001,Ireland,England,20,14,6,Win,2001 Six Nations Championship
2001-11-10,2001,Argentina,Wales,30,16,14,Win,2001 Autumn International
2001-11-10,2001,Australia,England,15,21,-6,Loss,2001 Autumn International
2001-11-10,2001,England,Australia,21,15,6,Win,2001 Autumn International
2001-11-10,2001,France,South Africa,20,10,10,Win,2001 Autumn International
2001-11-10,2001,South Africa,France,10,20,-10,Loss,2001 Autumn International
2001-11-10,2001,Wales,Argentina,16,30,-14,Loss,2001 Autumn International
2001-11-17,2001,Australia,France,13,14,-1,Loss,2001 Australia tour of Europe
2001-11-17,2001,France,Australia,14,13,1,Win,2001 Australia tour of Europe
2001-11-17,2001,Ireland,New Zealand,29,40,-11,Loss,2001 New Zealand rugby union tour
2001-11-17,2001,Italy,South Africa,26,54,-28,Loss,2001 autumn internationals
2001-11-17,2001,New Zealand,Ireland,40,29,11,Win,2001 New Zealand rugby union tour
2001-11-17,2001,South Africa,Italy,54,26,28,Win,2001 autumn internationals
2001-11-18,2001,Argentina,Scotland,25,16,9,Win,2001 Autumn International
2001-11-24,2001,England,South Africa,29,9,20,Win,2001 Autumn International
2001-11-24,2001,New Zealand,Scotland,37,6,31,Win,2001 New Zealand rugby union tour
2001-11-24,2001,South Africa,England,9,29,-20,Loss,2001 Autumn International
2001-11-25,2001,Australia,Wales,21,13,8,Win,2001 Australia tour of Europe
2001-11-25,2001,Wales,Australia,13,21,-8,Loss,2001 Australia tour of Europe
2001-12-01,2001,Argentina,New Zealand,20,24,-4,Loss,"2004 New Zealand tour of Ireland, Scotland and Argentina"
2001-12-01,2001,New Zealand,Argentina,24,20,4,Win,"2004 New Zealand tour of Ireland, Scotland and Argentina"
2002-02-02,2002,England,Scotland,29,3,26,Win,2002 Six Nations Championship
2002-02-02,2002,France,Italy,33,12,21,Win,2002 Six Nations Championship
2002-02-02,2002,Italy,France,12,33,-21,Loss,2002 Six Nations Championship
2002-02-03,2002,Ireland,Wales,54,10,44,Win,2002 Six Nations Championship
2002-02-03,2002,Wales,Ireland,10,54,-44,Loss,2002 Six Nations Championship
2002-02-16,2002,England,Ireland,45,11,34,Win,2002 Six Nations Championship
2002-02-16,2002,France,Wales,37,33,4,Win,2002 Six Nations Championship
2002-02-16,2002,Ireland,England,11,45,-34,Loss,2002 Six Nations Championship
2002-02-16,2002,Italy,Scotland,12,29,-17,Loss,2002 Six Nations Championship
2002-02-16,2002,Wales,France,33,37,-4,Loss,2002 Six Nations Championship
2002-03-02,2002,England,France,15,20,-5,Loss,2002 Six Nations Championship
2002-03-02,2002,France,England,20,15,5,Win,2002 Six Nations Championship
2002-03-02,2002,Ireland,Scotland,43,22,21,Win,2002 Six Nations Championship
2002-03-02,2002,Italy,Wales,20,44,-24,Loss,2002 Six Nations
2002-03-02,2002,Wales,Italy,44,20,24,Win,2002 Six Nations
2002-03-22,2002,France,Scotland,22,10,12,Win,2002 Six Nations Championship
2002-03-23,2002,England,Wales,50,10,40,Win,2002 Six Nations Championship
2002-03-23,2002,Ireland,Italy,32,17,15,Win,2002 Six Nations Championship
2002-03-23,2002,Italy,Ireland,17,32,-15,Loss,2002 Six Nations Championship
2002-03-23,2002,Wales,England,10,50,-40,Loss,2002 Six Nations Championship
2002-04-06,2002,France,Ireland,44,5,39,Win,2002 Six Nations Championship
2002-04-06,2002,Ireland,France,5,44,-39,Loss,2002 Six Nations Championship
2002-04-06,2002,Wales,Scotland,22,27,-5,Loss,2002 Six Nations Championship
2002-04-07,2002,England,Italy,45,9,36,Win,2002 Six Nations Championship
2002-04-07,2002,Italy,England,9,45,-36,Loss,2002 Six Nations Championship
2002-06-08,2002,Italy,New Zealand,10,64,-54,Loss,2002 Italy rugby union tour
2002-06-08,2002,New Zealand,Italy,64,10,54,Win,2002 Italy rugby union tour
2002-06-08,2002,South Africa,Wales,34,19,15,Win,2002 Wales tour of South Africa
2002-06-08,2002,Wales,South Africa,19,34,-15,Loss,2002 Wales tour of South Africa
2002-06-15,2002,Argentina,France,28,27,1,Win,2002 France tour of Argentina and Australia
2002-06-15,2002,France,Argentina,27,28,-1,Loss,2002 France tour of Argentina and Australia
2002-06-15,2002,Ireland,New Zealand,6,15,-9,Loss,2002 Ireland rugby union tour of New Zealand
2002-06-15,2002,New Zealand,Ireland,15,6,9,Win,2002 Ireland rugby union tour of New Zealand
2002-06-15,2002,South Africa,Wales,19,8,11,Win,2002 Wales tour of South Africa
2002-06-15,2002,Wales,South Africa,8,19,-11,Loss,2002 Wales tour of South Africa
2002-06-22,2002,Argentina,England,18,26,-8,Loss,2002 England tour of Argentina
2002-06-22,2002,Australia,France,29,17,12,Win,2002 France tour of Argentina and Australia
2002-06-22,2002,England,Argentina,26,18,8,Win,2002 England tour of Argentina
2002-06-22,2002,France,Australia,17,29,-12,Loss,2002 France tour of Argentina and Australia
2002-06-22,2002,Ireland,New Zealand,8,40,-32,Loss,2002 Ireland rugby union tour of New Zealand
2002-06-22,2002,New Zealand,Ireland,40,8,32,Win,2002 Ireland rugby union tour of New Zealand
2002-06-29,2002,Argentina,South Africa,29,49,-20,Loss,2002 Argentina tour of South Africa and Europe
2002-06-29,2002,Australia,France,31,25,6,Win,2002 France tour of Argentina and Australia
2002-06-29,2002,France,Australia,25,31,-6,Loss,2002 France tour of Argentina and Australia
2002-06-29,2002,South Africa,Argentina,49,29,20,Win,2002 Argentina tour of South Africa and Europe
2002-07-13,2002,Australia,New Zealand,6,12,-6,Loss,2002 Tri Nations Series
2002-07-13,2002,New Zealand,Australia,12,6,6,Win,2002 Tri Nations Series
2002-07-20,2002,New Zealand,South Africa,41,20,21,Win,2002 Tri Nations Series
2002-07-20,2002,South Africa,New Zealand,20,41,-21,Loss,2002 Tri Nations Series
2002-07-27,2002,Australia,South Africa,38,27,11,Win,2002 Tri Nations Series
2002-07-27,2002,South Africa,Australia,27,38,-11,Loss,2002 Tri Nations Series
2002-08-03,2002,Australia,New Zealand,16,14,2,Win,2002 Tri Nations Series
2002-08-03,2002,New Zealand,Australia,14,16,-2,Loss,2002 Tri Nations Series
2002-08-10,2002,New Zealand,South Africa,30,23,7,Win,2002 Tri Nations Series
2002-08-10,2002,South Africa,New Zealand,23,30,-7,Loss,2002 Tri Nations Series
2002-08-17,2002,Australia,South Africa,31,33,-2,Loss,2002 Tri Nations Series
2002-08-17,2002,South Africa,Australia,33,31,2,Win,2002 Tri Nations Series
2002-11-02,2002,Argentina,Australia,6,17,-11,Loss,2002 Australia tour of Argentina and Europe
2002-11-02,2002,Australia,Argentina,17,6,11,Win,2002 Australia tour of Argentina and Europe
2002-11-09,2002,Australia,Ireland,9,18,-9,Loss,2002 Autumn International
2002-11-09,2002,England,New Zealand,31,28,3,Win,2002 Autumn International
