date,year,team,opponent,team_score,opponent_score,margin,result,tournament
1988-07-03,1988,New Zealand,Australia,32,7,25,Win,1988 New Zealand tour of Australia
1988-07-16,1988,Australia,New Zealand,19,19,0,Draw,1988 New Zealand tour of Australia
1988-07-16,1988,New Zealand,Australia,19,19,0,Draw,1988 New Zealand tour of Australia
1988-07-30,1988,Australia,New Zealand,9,30,-21,Loss,1988 New Zealand tour of Australia
1988-07-30,1988,New Zealand,Australia,30,9,21,Win,1988 New Zealand tour of Australia
1988-11-05,1988,Argentina,France,9,29,-20,Loss,1988 Argentina tour of France
1988-11-05,1988,Australia,England,19,28,-9,Loss,1988 Australia tour of Great Britain and Italy
1988-11-05,1988,England,Australia,28,19,9,Win,1988 Australia tour of Great Britain and Italy
1988-11-05,1988,France,Argentina,29,9,20,Win,1988 Argentina tour of France
1988-11-11,1988,Argentina,France,18,28,-10,Loss,1988 Argentina tour of France
1988-11-11,1988,France,Argentina,28,18,10,Win,1988 Argentina tour of France
1988-11-19,1988,Australia,Scotland,32,13,19,Win,1988 Australia tour of Great Britain and Italy
1988-12-03,1988,Australia,Italy,55,6,49,Win,1988 Australia tour of Great Britain and Italy
1988-12-03,1988,Italy,Australia,6,55,-49,Loss,1988 Australia tour of Great Britain and Italy
1988-12-31,1988,Ireland,Italy,31,15,16,Win,
1988-12-31,1988,Italy,Ireland,15,31,-16,Loss,
1989-01-21,1989,France,Ireland,26,21,5,Win,1989 Five Nations Championship
1989-01-21,1989,Ireland,France,21,26,-5,Loss,1989 Five Nations Championship
1989-01-21,1989,Wales,Scotland,7,23,-16,Loss,1989 Five Nations Championship
1989-02-04,1989,England,Scotland,12,12,0,Draw,1989 Five Nations Championship
1989-02-04,1989,Ireland,Wales,19,13,6,Win,1989 Five Nations Championship
1989-02-04,1989,Wales,Ireland,13,19,-6,Loss,1989 Five Nations Championship
1989-02-18,1989,England,Ireland,16,3,13,Win,1989 Five Nations Championship
1989-02-18,1989,France,Wales,31,12,19,Win,1989 Five Nations Championship
1989-02-18,1989,Ireland,England,3,16,-13,Loss,1989 Five Nations Championship
1989-02-18,1989,Wales,France,12,31,-19,Loss,1989 Five Nations Championship
1989-03-04,1989,England,France,11,0,11,Win,1989 Five Nations Championship
1989-03-04,1989,France,England,0,11,-11,Loss,1989 Five Nations Championship
1989-03-04,1989,Ireland,Scotland,21,37,-16,Loss,1989 Five Nations Championship
1989-03-18,1989,England,Wales,9,12,-3,Loss,1989 Five Nations Championship
1989-03-18,1989,France,Scotland,19,3,16,Win,1989 Five Nations Championship
1989-03-18,1989,Wales,England,12,9,3,Win,1989 Five Nations Championship
1989-06-17,1989,France,New Zealand,17,25,-8,Loss,1989 French tour of New Zealand
1989-06-17,1989,New Zealand,France,25,17,8,Win,1989 French tour of New Zealand
1989-06-24,1989,Argentina,Italy,21,16,5,Win,1989 Italy rugby union tour of Argentina
1989-06-24,1989,Italy,Argentina,16,21,-5,Loss,1989 Italy rugby union tour of Argentina
1989-07-01,1989,France,New Zealand,20,34,-14,Loss,1989 French tour of New Zealand
1989-07-01,1989,New Zealand,France,34,20,14,Win,1989 French tour of New Zealand
1989-07-15,1989,Argentina,New Zealand,9,60,-51,Loss,1989 Argentina tour of New Zealand
1989-07-15,1989,New Zealand,Argentina,60,9,51,Win,1989 Argentina tour of New Zealand
1989-07-29,1989,Argentina,New Zealand,12,49,-37,Loss,1989 Argentina tour of New Zealand
1989-07-29,1989,New Zealand,Argentina,49,12,37,Win,1989 Argentina tour of New Zealand
1989-08-05,1989,Australia,New Zealand,12,24,-12,Loss,1989 Australia tour of New Zealand
1989-08-05,1989,New Zealand,Australia,24,12,12,Win,1989 Australia tour of New Zealand
1989-11-04,1989,Australia,France,32,15,17,Win,1989 Australia tour of France and Canada
1989-11-04,1989,France,Australia,15,32,-17,Loss,1989 Australia tour of France and Canada
