date,year,team,opponent,team_score,opponent_score,margin,result,tournament,elo_pre,elo_post,elo_delta
1987-07-25,1987,Australia,New Zealand,16,30,-14,Loss,1987 New Zealand tour of Australia,1497.6520871590874,1486.2617413326177,-11.390345826469684
1987-10-31,1987,Australia,Argentina,19,19,0,Draw,1987 Australia tour of Argentina,1486.2617413326177,1486.829015646876,0.567274314258384
1987-10-31,1987,Argentina,Australia,19,19,0,Draw,1987 Australia tour of Argentina,1499.4074297144773,1498.864613061682,-0.542816652795409
1987-11-07,1987,Argentina,Australia,27,19,8,Win,1987 Australia tour of Argentina,1498.864613061682,1513.3452023021177,14.480589240435847
1987-11-07,1987,Australia,Argentina,19,27,-8,Loss,1987 Australia tour of Argentina,1486.829015646876,1472.9715939182286,-13.857421728647523
1988-01-16,1988,England,France,9,10,-1,Loss,1988 Five Nations Championship,1448.3663974881717,1437.6597702570568,-10.706627231114908
1988-01-16,1988,France,England,10,9,1,Win,1988 Five Nations Championship,1550.668586753764,1560.9546831093494,10.286096355585414
1988-01-16,1988,Ireland,Scotland,22,18,4,Win,1988 Five Nations Championship,1471.683303470644,1487.3857729034078,15.702469432763792
1988-01-16,1988,Scotland,Ireland,18,22,-4,Loss,1988 Five Nations Championship,1487.966072647629,1472.9410191170416,-15.025053530587456
1988-02-06,1988,England,Wales,3,11,-8,Loss,1988 Five Nations Championship,1437.6597702570568,1425.4743728006545,-12.18539745640237
1988-02-06,1988,France,Scotland,12,23,-11,Loss,1988 Five Nations Championship,1560.9546831093494,1542.2340767178407,-18.72060639150868
1988-02-06,1988,Scotland,France,23,12,11,Win,1988 Five Nations Championship,1472.9410191170416,1490.893596201781,17.95257708473946
1988-02-06,1988,Wales,England,11,3,8,Win,1988 Five Nations Championship,1503.6343454786697,1515.3157036370412,11.681358158371495
1988-02-20,1988,Wales,Scotland,25,20,5,Win,1988 Five Nations Championship,1515.3157036370412,1529.2630496638349,13.947346026793639
1988-02-20,1988,Scotland,Wales,20,25,-5,Loss,1988 Five Nations Championship,1490.893596201781,1477.5434368830086,-13.350159318772512
1988-02-20,1988,France,Ireland,25,6,19,Win,1988 Five Nations Championship,1542.2340767178407,1554.8855624166486,12.651485698807846
1988-02-20,1988,Ireland,France,6,25,-19,Loss,1988 Five Nations Championship,1487.3857729034078,1475.2638530861052,-12.121919817302569
1988-03-05,1988,England,Scotland,9,6,3,Win,1988 Five Nations Championship,1425.4743728006545,1442.7056947527687,17.231321952114286
1988-03-05,1988,Ireland,Wales,9,12,-3,Loss,1988 Five Nations Championship,1475.2638530861052,1462.576593498928,-12.687259587177095
1988-03-05,1988,Scotland,England,6,9,-3,Loss,1988 Five Nations Championship,1477.5434368830086,1461.0443912333412,-16.499045649667323
1988-03-05,1988,Wales,Ireland,12,9,3,Win,1988 Five Nations Championship,1529.2630496638349,1541.4188063080655,12.155756644230678
1988-03-19,1988,Ireland,England,3,35,-32,Loss,1988 Five Nations Championship,1462.576593498928,1446.7196320208466,-15.85696147808153
1988-03-19,1988,England,Ireland,35,3,32,Win,1988 Five Nations Championship,1442.7056947527687,1457.8789826453076,15.173287892538838
1988-03-19,1988,France,Wales,10,9,1,Win,1988 Five Nations Championship,1554.8855624166486,1569.3044468072205,14.418884390571975
1988-03-19,1988,Wales,France,9,10,-1,Loss,1988 Five Nations Championship,1541.4188063080655,1527.620147660116,-13.798658647949651
1988-04-23,1988,Ireland,England,10,21,-11,Loss,Millennium Trophy,1446.7196320208466,1432.2012543064673,-14.518377714379312
1988-04-23,1988,England,Ireland,21,10,11,Win,Millennium Trophy,1457.8789826453076,1471.7724000431754,13.893417397867779
1988-05-28,1988,New Zealand,Wales,52,3,49,Win,1988 Wales tour of New Zealand,1582.9326441917879,1595.5645844490148,12.631940257226915
1988-05-28,1988,Wales,New Zealand,3,52,-49,Loss,1988 Wales tour of New Zealand,1527.620147660116,1515.51671352567,-12.103434134445934
